content;score;date;version;app_name;sentiment_label;sentiment_score;PIX;Login/Autenticação;Performance;Interface/Usabilidade;Empréstimos/Crédito;Pagamentos/Boletos;Saldo/Extrato;Atendimento;Cadastro/Conta;Investimentos;Segurança;Notificações;Questões geográficas;Placas/Veículos;Tarifas/Cobranças;Outros
atualização do aplicativo está muito pesada.;2;2026-01-05 16:37:04;25.5.1.0;Santander;negative;0.9218244552612304;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
minha conta tá bloqueada no meu celular, não consigo acessar, eu ligo para o número de telefone que fica no app e diz que o número está desativado.;1;2026-01-05 16:33:52;25.9.1.3;Santander;negative;0.834518551826477;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Péssimo,o app está cheio de bugs;1;2026-01-05 15:54:46;25.9.1.3;Santander;negative;0.9581380486488342;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
esse App já foi muito bom mas hoje trava o celular é um horror pra tirar a self mesmo em outros aparelhos demorando pra mandar pix,fora q é um App pesado q sobrecarrega o celular. E NEM vem falar que é internet ou aparelho pois mesmo trocando o aparelho e usando outros Wi-Fi TRAVA mesmo assim.E pior tenho conta a 7 anos e nunca me ofereceram empréstimo ou cartão de crédito.;3;2026-01-05 15:16:18;25.9.1.3;Santander;negative;0.9344577193260192;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
aplicativo complicado não consigo acessar minha conta corrente os outros bancos não dá problema;1;2026-01-05 15:02:51;25.9.1.3;Santander;negative;0.8444586396217346;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
não consgui instalar não consegui instalar;2;2026-01-05 14:58:42;25.9.1.3;Santander;negative;0.8176655173301697;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
gostaria de pedir que o app não usasse o cpf e nem guardasse obrigatoriamente os dados do login. Por mais segurança prefiro digitar Ag, Conta e senha. O cpf é facil encontrar em vazamentos pela internet. Vejo uma tentativa de simplificar o acesso que está diminuindo a segurança geral.;1;2026-01-05 14:38:05;25.9.1.3;Santander;negative;0.6765655875205994;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Desde que a empresa em que trabalho mudou o banco para Santander para pagamentos de salario, nunca mais o salário caiu a meia noite do dia 05. Só cai no dia 5 a tarde agora. Sabemos que a empresa repassa os pagamentos como sempre no horário, mas o Santander é horrível, custa repassar o pagamento no horário que a empresa deposita como sempre foi feito no banco anterior? obs: n é portabilidade, infelizmente a empresa trocou de banco. E já conversamos via chat, é só enrolação.;3;2026-01-05 13:56:32;25.9.1.3;Santander;negative;0.9099474549293518;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"FOI um App ótimo, nunca me deixou na mão, todas as transferências e pagamentos feitos sem problema, agora nessa hora em que MAIS preciso não completa nada, mal sai da 1° página, oque aconteceu??? desinstalei App e precisou do id,no caixa eletrônico sem comunicação, na Central 15 minutos de espera e não consegui ao menos contato coATENDENTE. Péssimo, sabia que por esse ""probleminha"", posso fazer a portabilidade pra outro banco que não vai me deixar na mão quando eu precisar?";5;2026-01-05 13:47:52;24.3.2.0;Santander;negative;0.9348052740097046;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Péssimo serviço prestado! Colocam uma transportadora fuleira para fazer a entrega do cartão que nunca chega. Serviço Péssimo! Como um banco não tem controle da entrega? Nunca sabem de nada! PÉSSIMO!;1;2026-01-05 13:46:08;25.9.1.3;Santander;negative;0.95987468957901;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
